Name,A,B,C,D,E,magimin summary,Magimin Balance,Total Magimin,(Base) Price,Magimin Ratio,Is Known Ingredient,Amount Owned,Taste,Touch,Smell,Sight,Sound,Type,Rarity,Location,Usefull for at least 1 Perfect Brew,Usefull for perfect brew; Health Potion,Usefull for perfect brew; Mana Potion,Usefull for perfect brew; Stamina Potion,Usefull for perfect brew; Speed Potion,Usefull for perfect brew; Tolerance Potion,Usefull for perfect brew; Fire Tonic,Usefull for perfect brew; Ice Tonic,Usefull for perfect brew; Thunder Tonic,Usefull for perfect brew; Shadow Tonic,Usefull for perfect brew; Radiation Tonic,Usefull for perfect brew; Sight Enhancer,Usefull for perfect brew; Alertness Enhancer,Usefull for perfect brew; Insight Enhancer,Usefull for perfect brew; Dowsing Enhancer,Usefull for perfect brew; Seeking Enhancer,Usefull for perfect brew; Poison Cure,Usefull for perfect brew; Drowsiness Cure,Usefull for perfect brew; Petrification Cure,Usefull for perfect brew; Silence Cure,Usefull for perfect brew; Curse Cure
Abominable Tarantula,0,0,0,0,66,0:0:0:0:66,0:0:0:0:1,66,105,0.629,FALSE,0,0,0,0,-5,5,Bug,Uncommon,Arctic,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Abyssalite,30,20,0,0,10,30:20:0:0:10,3:2:0:0:1,60,79,0.759,FALSE,0,0,0,0,0,0,Mineral,Uncommon,Ocean Coasts,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Acid Pitfall Plant,16,0,40,0,40,16:0:40:0:40,2:0:5:0:5,96,145,0.662,FALSE,0,0,0,0,0,0,Plant,Uncommon,Sulfuric Falls,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Acid Rutabaga,0,48,0,0,0,0:48:0:0:0,0:1:0:0:0,48,54,0.889,FALSE,0,-5,0,0,0,5,Plant,Common,Sulfuric Falls,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Amethyst Ore,66,66,0,0,33,66:66:0:0:33,2:2:0:0:1,165,206,0.801,FALSE,0,0,0,0,0,-5,Ores,Uncommon,Dragon Oasis,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Amphitere's Shadow,44,0,44,0,0,44:0:44:0:0,1:0:1:0:0,88,114,0.772,FALSE,0,0,0,0,0,0,Essences,Common,Dragon Oasis,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Antlered Jelly,30,0,0,0,0,30:0:0:0:0,1:0:0:0:0,30,28,1.071,FALSE,0,0,-5,0,5,0,Slime,Uncommon,Storm Plains,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Arcane Quartz,84,0,0,84,42,84:0:0:84:42,2:0:0:2:1,210,264,0.795,FALSE,0,0,0,0,0,-5,Gem,Uncommon,Magical Wasteland,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Arcane Truffle,0,42,42,42,42,0:42:42:42:42,0:1:1:1:1,168,236,0.712,FALSE,0,0,0,0,0,0,Fungus,Rare,Magical Wasteland,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Armored Pudding,44,0,0,44,0,44:0:0:44:0,1:0:0:1:0,88,115,0.765,FALSE,0,0,0,0,0,0,Slime,Common,Crater,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Avalanche Cricket,24,24,32,32,0,24:24:32:32:0,3:3:4:4:0,112,140,0.800,FALSE,0,5,-5,0,0,0,Bug,Common,Ice Craggs,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Banshee's Bloody Tongue,0,40,0,0,0,0:40:0:0:0,0:1:0:0:0,40,32,1.250,FALSE,0,0,0,-5,0,0,Flesh,Common,Shadow Steppe,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Barghast Canine,0,30,0,0,10,0:30:0:0:10,0:3:0:0:1,40,55,0.727,FALSE,0,0,0,0,0,0,Bone,Rare,Shadow Steppe,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Barracuda Plant,22,55,0,0,55,22:55:0:0:55,2:5:0:0:5,132,172,0.767,FALSE,0,0,0,0,0,0,Plant,Common,Crater,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Basilisk's Cornea,0,22,0,0,0,0:22:0:0:0,0:1:0:0:0,22,54,0.407,FALSE,0,5,5,0,0,0,Flesh,Uncommon,Dragon Oasis,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
